Id	HS_gene_id	Gene	Description	HS	GG	NL	PT	HS_aa	PT_aa	GG_aa	NL_aa	overlap	AbsId	Subs	HS_Subs	PT_Subs	GG_Subs	NL_Subs	#1#_Subs	%AbsId	%Subs	%HS_Subs	%PT_Subs	%GG_Subs	%NL_Subs	%#1#_Subs	%NoId
ENST00000054668	ENSG00000049247	UTS2	urotensin 2 	ENST00000054668	ENSGGOT00000006831	ENSNLET00000011227	ENSPTRT00000100095	139	139	139	139	84	76	8	0	0	1	7	0	90.4761904761905	9.52380952380952	0	0	1.19047619047619	8.33333333333333	0	0
ENST00000055077	ENSG00000049541	RFC2	replication factor C subunit 2 	ENST00000055077	ENSGGOT00000061355	ENSNLET00000042175	ENSPTRT00000035683	354	354	354	322	318	310	8	0	0	1	7	0	97.4842767295598	2.51572327044025	0	0	0.314465408805031	2.20125786163522	0	0
ENST00000055335	ENSG00000049769	PPP1R3F	protein phosphatase 1 regulatory subunit 3F 	ENST00000055335	ENSGGOT00000000922	ENSNLET00000055771	ENSPTRT00000101595	799	798	644	798	644	633	11	0	2	2	5	1	98.2919254658385	1.7080745341615	0	0.31055900621118	0.31055900621118	0.77639751552795	0.15527950310559	0
ENST00000055682	ENSG00000050030	NEXMIF	neurite extension and migration factor 	ENST00000055682	ENSGGOT00000005339	ENSNLET00000001314	ENSPTRT00000096506	1516	1516	1516	1516	1516	1491	25	2	1	2	19	0	98.3509234828496	1.64907651715039	0.131926121372032	0.065963060686016	0.131926121372032	1.2532981530343	0	0
ENST00000056233	ENSG00000050344	NFE2L3	nuclear factor%2C erythroid 2 like 3 	ENST00000056233	ENSGGOT00000029643	ENSNLET00000054213	ENSPTRT00000035126	694	692	693	660	650	605	45	4	7	8	21	4	93.0769230769231	6.92307692307692	0.615384615384615	1.07692307692308	1.23076923076923	3.23076923076923	0.615384615384615	0
ENST00000064571	ENSG00000054803	CBLN4	cerebellin 4 precursor 	ENST00000064571	ENSGGOT00000010525	ENSNLET00000008971	ENSPTRT00000025426	201	201	201	201	201	201	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000064778	ENSG00000054965	FAM168A	family with sequence similarity 168 member A 	ENST00000064778	ENSGGOT00000010320	ENSNLET00000033188	ENSPTRT00000082839	244	244	217	244	217	216	1	0	0	0	0	1	99.5391705069124	0.460829493087559	0	0	0	0	0.460829493087558	0
ENST00000064780	ENSG00000054967	RELT	RELT TNF receptor 	ENST00000064780	ENSGGOT00000010314	ENSNLET00000021829	ENSPTRT00000077610	430	430	430	430	430	417	13	2	1	3	6	0	96.9767441860465	3.02325581395348	0.465116279069767	0.232558139534884	0.697674418604651	1.3953488372093	0	0
ENST00000070846	ENSG00000057294	PKP2	plakophilin 2 	ENST00000070846	ENSGGOT00000056897	ENSNLET00000021203	ENSPTRT00000008916	881	837	881	841	793	774	19	2	0	3	13	0	97.6040353089534	2.39596469104666	0.252206809583859	0	0.378310214375788	1.63934426229508	0	0
ENST00000072644	ENSG00000058799	YIPF1	Yip1 domain family member 1 	ENST00000072644	ENSGGOT00000015453	ENSNLET00000045577	ENSPTRT00000001441	306	345	306	249	239	230	9	0	0	1	8	0	96.234309623431	3.76569037656904	0	0	0.418410041841004	3.34728033472803	0	0
ENST00000072869	ENSG00000133597	ADCK2	aarF domain containing kinase 2 	ENST00000072869	ENSGGOT00000056194	ENSNLET00000053327	ENSPTRT00000036627	626	626	630	626	603	584	19	3	2	1	10	1	96.849087893864	3.15091210613599	0.497512437810945	0.33167495854063	0.165837479270315	1.65837479270315	0.165837479270315	0
ENST00000074304	ENSG00000040933	INPP4A	inositol polyphosphate-4-phosphatase type I A 	ENST00000074304	ENSGGOT00000033511	ENSNLET00000049456	ENSPTRT00000083758	977	977	977	972	972	968	4	0	0	0	2	1	99.5884773662552	0.411522633744852	0	0	0	0.205761316872428	0.102880658436214	0
ENST00000078445	ENSG00000060566	CREB3L3	cAMP responsive element binding protein 3 like 3 	ENST00000078445	ENSGGOT00000024989	ENSNLET00000003699	ENSPTRT00000018908	461	461	461	406	340	315	25	0	3	6	16	0	92.6470588235294	7.35294117647059	0	0.882352941176471	1.76470588235294	4.70588235294118	0	0
ENST00000078527	ENSG00000060642	PIGV	phosphatidylinositol glycan anchor biosynthesis class V 	ENST00000078527	ENSGGOT00000004999	ENSNLET00000011975	ENSPTRT00000103335	493	493	493	493	493	480	13	2	1	3	7	0	97.3630831643002	2.63691683569979	0.405679513184584	0.202839756592292	0.608519269776876	1.41987829614604	0	0
ENST00000081029	ENSG00000061794	MRPS35	mitochondrial ribosomal protein S35 	ENST00000081029	ENSGGOT00000003210	ENSNLET00000054102	ENSPTRT00000008853	323	323	323	323	323	306	17	2	1	0	13	1	94.7368421052632	5.26315789473684	0.619195046439629	0.309597523219814	0	4.02476780185759	0.309597523219814	0
ENST00000083182	ENSG00000062725	APPBP2	amyloid beta precursor protein binding protein 2 	ENST00000083182	ENSGGOT00000008963	ENSNLET00000000476	ENSPTRT00000017387	585	585	568	585	555	554	1	1	0	0	0	0	99.8198198198198	0.180180180180187	0.18018018018018	0	0	0	0	0
ENST00000084795	ENSG00000063177	RPL18	ribosomal protein L18 	ENST00000084795	ENSGGOT00000056403	ENSNLET00000005775	ENSPTRT00000082347	190	188	188	183	182	181	1	0	0	1	0	0	99.4505494505495	0.549450549450555	0	0	0.549450549450549	0	0	0
ENST00000084798	ENSG00000063180	CA11	carbonic anhydrase 11 	ENST00000084798	ENSGGOT00000001455	ENSNLET00000005846	ENSPTRT00000020900	328	328	328	328	328	327	1	0	0	0	1	0	99.6951219512195	0.304878048780495	0	0	0	0.304878048780488	0	0
ENST00000085068	ENSG00000063241	ISOC2	isochorismatase domain containing 2 	ENST00000085068	ENSGGOT00000026588	ENSNLET00000013428	ENSPTRT00000021448	221	205	205	161	133	131	2	1	0	0	1	0	98.4962406015038	1.50375939849624	0.75187969924812	0	0	0.75187969924812	0	0
ENST00000155840	ENSG00000053918	KCNQ1	potassium voltage-gated channel subfamily Q member 1 	ENST00000155840	ENSGGOT00000013429	ENSNLET00000052914	ENSPTRT00000080718	676	676	676	359	284	281	3	1	1	0	1	0	98.943661971831	1.05633802816901	0.352112676056338	0.352112676056338	0	0.352112676056338	0	0
ENST00000155926	ENSG00000071575	TRIB2	tribbles pseudokinase 2 	ENST00000155926	ENSGGOT00000058671	ENSNLET00000018195	ENSPTRT00000021741	343	343	343	343	343	342	1	1	0	0	0	0	99.7084548104956	0.291545189504376	0.291545189504373	0	0	0	0	0
ENST00000156109	ENSG00000068394	GPKOW	G-patch domain and KOW motifs 	ENST00000156109	ENSGGOT00000013737	ENSNLET00000010247	ENSPTRT00000108872	476	476	476	471	470	454	16	3	3	3	7	0	96.5957446808511	3.40425531914893	0.638297872340426	0.638297872340426	0.638297872340426	1.48936170212766	0	0
ENST00000156471	ENSG00000021776	AQR	aquarius intron-binding spliceosomal factor 	ENST00000156471	ENSGGOT00000014136	ENSNLET00000014266	ENSPTRT00000012712	1485	1485	1466	1485	1466	1452	14	1	1	3	8	1	99.0450204638472	0.954979536152791	0.068212824010914	0.068212824010914	0.204638472032742	0.545702592087312	0.068212824010914	0
